index,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
152,Slovakia,196,293,116,10.7
153,Slovenia,270,51,276,10.6
154,Solomon Islands,56,11,1,1.2
155,Somalia,0,0,0,0.0
156,South Africa,225,76,81,6.8
157,South Korea,140,16,9,2.9
158,Spain,284,157,112,9.8
159,Sri Lanka,16,104,0,2.1
160,St. Kitts & Nevis,194,205,32,7.6
161,St. Lucia,171,315,71,9.9
162,St. Vincent & the Grenadines,120,221,11,6.2
163,Sudan,8,13,0,0.4
164,Suriname,128,178,7,5.6
165,Swaziland,90,2,2,1.7
166,Sweden,152,60,186,7.1
167,Switzerland,185,100,280,10.0
168,Syria,5,35,16,1.0
169,Tajikistan,2,15,0,0.3
170,Tanzania,36,6,1,0.8
171,Thailand,99,258,1,6.4
172,Timor-Leste,1,1,4,0.1
173,Togo,36,2,19,1.0
174,Tonga,36,21,5,1.1
175,Trinidad & Tobago,197,156,7,6.4
176,Tunisia,51,3,20,1.3
177,Turkey,51,22,7,1.4
178,Turkmenistan,19,71,32,2.2
179,Tuvalu,6,41,9,1.0
180,Uganda,45,9,0,1.0
181,Ukraine,206,237,45,8.7
182,United Arab Emirates,16,135,5,2.8
183,United Kingdom,219,126,195,9.6
184,Uruguay,115,35,220,6.6
185,USA,249,158,84,8.7
186,Uzbekistan,25,101,8,2.4
187,Vanuatu,21,18,11,0.9
188,Venezuela,333,100,3,7.7
189,Vietnam,111,2,1,2.0
190,Yemen,6,0,0,0.1
191,Zambia,32,19,4,1.0
192,Zimbabwe,64,18,4,1.5
